Timestamp,Frame_Number,Emotion
2024-12-17 16:00:53,1,disgust
2024-12-17 16:00:53,11,disgust
2024-12-17 16:00:54,21,disgust
2024-12-17 16:00:54,31,disgust
2024-12-17 16:00:55,41,disgust
2024-12-17 16:00:55,51,disgust
2024-12-17 16:00:56,61,disgust
2024-12-17 16:00:56,71,disgust
2024-12-17 16:00:57,101,anger
2024-12-17 16:00:58,121,disgust
2024-12-17 16:00:58,131,disgust
2024-12-17 16:00:59,141,disgust
2024-12-17 16:00:59,151,disgust
2024-12-17 16:01:00,161,disgust
2024-12-17 16:01:01,201,disgust
2024-12-17 16:01:01,201,anger
2024-12-17 16:01:02,251,disgust
2024-12-17 16:01:02,261,disgust
2024-12-17 16:01:03,271,disgust
2024-12-17 16:01:04,321,disgust
2024-12-17 16:01:05,331,disgust
2024-12-17 16:01:05,341,disgust
2024-12-17 16:01:06,361,disgust
2024-12-17 16:01:06,371,disgust
2024-12-17 16:01:07,391,happy
2024-12-17 16:01:07,411,disgust
2024-12-17 16:01:08,421,anger
2024-12-17 16:01:08,431,disgust
2024-12-17 16:01:09,461,disgust
2024-12-17 16:01:10,471,disgust
2024-12-17 16:01:10,481,disgust
2024-12-17 16:01:11,521,anger
2024-12-17 16:01:13,571,disgust
2024-12-17 16:01:14,591,anger
2024-12-17 16:01:14,601,anger
2024-12-17 16:01:15,621,happy
2024-12-17 16:01:16,631,happy
2024-12-17 16:01:16,641,happy
2024-12-17 16:01:17,651,disgust
2024-12-17 16:01:17,661,disgust
2024-12-17 16:01:18,681,happy
2024-12-17 16:01:18,681,surprise
2024-12-17 16:01:19,701,disgust
2024-12-17 16:01:20,731,happy
2024-12-17 16:01:21,741,happy
2024-12-17 16:01:22,791,disgust
2024-12-17 16:01:23,801,disgust
2024-12-17 16:01:23,811,anger
2024-12-17 16:01:24,821,anger
2024-12-17 16:01:24,831,anger
2024-12-17 16:01:25,841,anger
2024-12-17 16:01:25,851,anger
2024-12-17 16:01:26,861,disgust
